,nm_perfil,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,unidade_original,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada,escala_transformada
,,QT_IDADE_ALUNO,FL_ENTRADA_TARDIA,FL_ALUNO_SEM_ESPACO_CALOURO,FL_FEZ_QUEST_ESPACO_CALOURO,FL_FEZ_QUEST_CONHECA_EAD,FL_ACESSOU_CONHECA_EAD,QT_DIA_ATE_PRI_ACESSO,QT_DIA_ACESSO_TOTAL,QT_ACESSO_AVA_SEMANA_ENTREGA_ATV,PC_ATIVIDADE_ENTREGUE,QT_ATV_ENTREGUE,PC_AULA_AOVIVO_ASSISTIDA,PC_AULA_CONCEITUAL_ASSISTIDA,PC_ENGAJAMENTO_FINANCEIRO,PC_RENEGOCIACAO,PC_CONCLUSAO_CURSO,PC_DESEMP_MF,PC_DESEMP_ATIV,PC_DESEMP_PROVA,PC_DISC_APROV,QT_IDADE_ALUNO,FL_ENTRADA_TARDIA,FL_ALUNO_SEM_ESPACO_CALOURO,FL_FEZ_QUEST_ESPACO_CALOURO,FL_FEZ_QUEST_CONHECA_EAD,FL_ACESSOU_CONHECA_EAD,QT_DIA_ATE_PRI_ACESSO,QT_DIA_ACESSO_TOTAL,QT_ACESSO_AVA_SEMANA_ENTREGA_ATV,PC_ATIVIDADE_ENTREGUE,QT_ATV_ENTREGUE,PC_AULA_AOVIVO_ASSISTIDA,PC_AULA_CONCEITUAL_ASSISTIDA,PC_ENGAJAMENTO_FINANCEIRO,PC_RENEGOCIACAO,PC_CONCLUSAO_CURSO,PC_DESEMP_MF,PC_DESEMP_ATIV,PC_DESEMP_PROVA,PC_DISC_APROV
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,C0 - Intermitente (Acessou Conheca EAD baixo),29.0,0.0,0.0,0.0,0.0,0.0,145.47,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,28.54,0.0,93.0,40.0,0.0,-0.0435,-3.5373,-3.6365,-5.1892,-5.1983,-5.1908,-0.2641,-0.6648,-1.6593,-5.1607,-5.1605,-3.6907,-3.8317,4.1493,-3.9798,0.3376,-0.3586,0.3288,-0.0502,-2.4408
1,C1 - Regular (% atividades entregues alto),31.0,0.0,0.0,0.0,0.0,0.0,536.8,6.0,1.0,80.0,3.0,0.0,0.0,100.0,0.0,11.0,0.0,0.0,0.0,0.0,0.1116,-3.4988,-3.8197,-5.1966,-5.1945,-1.9105,0.4512,0.5442,0.0012,1.545,1.1087,-1.6536,-1.7894,4.0036,-4.4454,-0.1973,-1.298,-0.6377,-0.8625,-2.1
2,C2 - Intermitente (Acessou Conheca EAD alto),28.0,0.0,0.0,0.0,0.0,1.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21.0,0.0,81.82,0.0,0.0,-0.1099,-2.6835,-3.7821,-5.1675,-5.1559,5.1613,-0.2619,-0.4959,-1.4798,-4.5311,-4.5277,-3.3485,-3.6866,3.8919,-4.1927,0.1064,-0.845,-0.163,-0.6115,-2.8497
3,C3 - Desengajado (Desempenho - atividades baixo),29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,-5.1736,-4.3014,-4.6253,-5.0561,-3.7697,-2.8898,-2.98,-3.9636,-4.975,-4.9839,-4.3992,-4.4381,0.5976,-4.6608,-2.8869,-4.918,-4.7207,-5.056,-5.1614
4,C4 - Regular (Respondeu quest. Conheca EAD alto),29.0,0.0,0.0,1.0,1.0,1.0,179.49,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24.0,0.0,84.0,0.0,0.0,-0.0226,-3.3031,-4.0619,0.5173,5.1937,5.1988,-0.1233,-0.1141,-0.8637,-2.0586,-2.2763,-2.1551,-2.5181,3.7914,-4.5158,0.1931,-0.7103,-0.0812,-0.6255,-2.1096
5,C5 - Regular (Respondeu quest. Espaco Calouro alto),29.0,0.0,0.0,1.0,0.0,0.0,56.74,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.0,0.0,88.0,0.0,0.0,0.016,-2.6227,-4.2618,5.1984,-5.1981,-5.1931,-0.4868,-0.2618,-1.0165,-2.1217,-2.3702,-2.1957,-2.8376,3.3349,-4.4052,-0.4751,-0.545,0.0495,-0.8217,-1.7556
6,C6 - Desengajado (Entrada tardia alto),30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,5.1692,-4.3304,-4.4064,-5.0916,-3.9196,-3.0598,-2.4594,-3.1652,-4.6054,-4.6296,-4.2111,-4.1736,0.9408,-4.7085,-3.4423,-4.1676,-3.876,-4.4148,-4.8959
7,C7 - Regular (Respondeu quest. Espaco Calouro alto),29.0,0.0,0.0,1.0,0.0,1.0,112.81,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7.0,0.0,90.0,0.0,0.0,-0.051,-2.8754,-4.4121,5.1937,-5.1819,5.193,-0.3497,-0.0473,-0.7704,-2.2508,-2.4885,-1.6562,-2.5189,3.4717,-4.454,-0.4047,-0.4927,0.1397,-0.7507,-1.6846
